"snp" "gene" "estimate" "std.error" "t.value" "p"
"43" 5 3 0.409007241219901 0.01107965204995 36.9151702035398 6.9512970901869e-13
"129" 13 9 -0.336078063179932 0.0814995022640695 -4.12368240104085 0.00169011475981426
"131" 14 1 0.220427632498935 0.0680747319330497 3.23802424540903 0.00790166983714031
"106" 11 6 -0.232810494187668 0.0758295999402992 -3.07017964450504 0.010656498272658
"40" 4 10 0.232139190253315 0.0756939640060676 3.06681243744491 0.010720756423986
"92" 10 2 -0.233070519055231 0.0772573783975334 -3.01680595290135 0.0117224275982538
"116" 12 6 0.236602314837024 0.0861936911220875 2.74500734052441 0.0190600430820557
"83" 9 3 -0.167407498141335 0.0611511372306592 -2.73760236886326 0.0193140574491579
"132" 14 2 -0.155607437783052 0.0617814245412203 -2.51867675338615 0.0285426178571065
"1" 1 1 0.200524423165732 0.0829900497589828 2.41624657110207 0.034233706114096
"50" 5 10 0.245077921179403 0.106543443759987 2.30026280858252 0.0420124974356611
"125" 13 5 0.211946244153914 0.0922129273177704 2.29844394185142 0.0421471422444237
"26" 3 6 -0.230993453487208 0.107908784373102 -2.14063623113881 0.0555438507119439
"46" 5 6 -0.221048399852082 0.107444979890272 -2.05731715039481 0.0641614923905261
"66" 7 6 0.235645800965145 0.114866539470564 2.05147471188103 0.0648108053102668
"17" 2 7 -0.203148841634363 0.0994823402964901 -2.04205933464083 0.0658702097219026
"48" 5 8 -0.227434936962132 0.113236417208746 -2.0084964057355 0.0697802462430826
"89" 9 9 -0.173801722091747 0.0889764020593996 -1.95334625888467 0.0766792210195492
"33" 4 3 0.143304885366206 0.0759544282184716 1.8867219295498 0.0858566657576821
"70" 7 10 0.224865197907651 0.119757639632896 1.87766892030397 0.0871790942128166
"86" 9 6 0.168374547050315 0.0902662422042479 1.86531025263386 0.0890146346825147
"112" 12 2 0.158507063535845 0.0910949771897166 1.7400197950073 0.109719150022293
"118" 12 8 0.18139286533411 0.104619544727125 1.73383344199431 0.110846245565195
"91" 10 1 0.163717246372305 0.0948553832238296 1.72596684350515 0.112294504322121
"98" 10 8 -0.181558355057452 0.107699245541853 -1.68579040776006 0.119959156150023
"104" 11 4 0.154114505152007 0.0928259170175474 1.66025297787118 0.125070668184198
"73" 8 3 0.188397771610083 0.116110617644601 1.62257143603132 0.132966192851032
"130" 13 10 -0.192269688152497 0.120460938920911 -1.59611646625743 0.138769169190127
"36" 4 6 0.115251317052846 0.0799996176672226 1.44064834824913 0.177535777938212
"61" 7 1 -0.159975294172145 0.111991862440432 -1.42845462773901 0.180934619489378
"96" 10 6 -0.144392138617658 0.101606832165044 -1.42108690469865 0.183014856532162
"27" 3 7 -0.161845122934647 0.114563119029908 -1.41271575272313 0.185402893102775
"28" 3 8 -0.177190302797351 0.126251700789555 -1.40346863994098 0.188071300991405
"95" 10 5 0.128620818574512 0.09229117972067 1.39364150467897 0.19094242002634
"147" 15 7 -0.168150463686568 0.123576253426914 -1.36070206875156 0.200835305859354
"63" 7 3 0.152908959575825 0.112676478097943 1.3570619365908 0.201954319879072
"8" 1 8 -0.135215655662347 0.100296909030152 -1.34815376635084 0.204714649958644
"21" 3 1 0.155128502252725 0.12418184726271 1.24920433760778 0.237519044589628
"74" 8 4 0.141529701986408 0.114406474581107 1.23707773099915 0.241817114143552
"3" 1 3 0.122829461476972 0.100267658634547 1.22501575432869 0.246153973104265
"20" 2 10 0.138404735939192 0.1137373340774 1.21688042947275 0.249113970585018
"59" 6 9 -0.111999016392907 0.0977657606450363 -1.14558528112463 0.276278736185075
"117" 12 7 -0.110284053603123 0.0967309731348225 -1.14011107331061 0.278456635463241
"62" 7 2 0.126830943571448 0.11440576907773 1.10860618825329 0.291250254129957
"113" 12 3 -0.112820950909026 0.106121602022647 -1.06312898371954 0.310505682755794
"29" 3 9 0.140062656177636 0.13207983514029 1.06043936251788 0.311673910026628
"134" 14 4 0.101673277558849 0.096036125964881 1.05869824024378 0.312431920920939
"140" 14 10 -0.0896322012555549 0.0885277278515138 -1.01247601662039 0.333063336003572
"127" 13 7 -0.105080584524124 0.104340946749645 -1.0070886626729 0.33553199859682
"14" 2 4 -0.131712125390929 0.130984262583733 -1.00555687219853 0.336236364028793
"6" 1 6 -0.0794742623070422 0.0793014383855939 -1.00217932896258 0.337793297960626
"47" 5 7 -0.110251644600838 0.110658802254106 -0.99632060310636 0.340506491311335
"68" 7 8 0.130352606758956 0.132941035543704 0.980529497350749 0.347898588318746
"146" 15 6 0.135686742808347 0.139453419055321 0.972989717480651 0.351468896070406
"136" 14 6 -0.092449369805394 0.096606804289132 -0.956965407205736 0.359144602017724
"100" 10 10 -0.109119374476578 0.115493731915235 -0.944807762872056 0.365047847479938
